,Season,Rank,Player,Age,Position,Team,Games_Played,Goals,Assists,Points,Plus_Minus,Penalty_Minutes,Point_Shares,Even_Strength_Goals,Powerplay_Goals,Shorthanded_Goals,Game_Winning_Goals,Shots,Shooting_Percentage,Time_On_Ice,Avg_Time_On_Ice,Blocks,Hits,Faceoff_Wins,Faceoff_Losses,Faceoff_Percentage,Hart_Trophy?,Votes
11380,2004,1729,Martin St. Louis\stlouma01,28,RW,TBL,82,38,56,94,35,24,13.2,22,8,8,7,212,17.9,1688,20.58333333,0.0,0,0.0,0.0,0.0,Yes,1016
11381,2004,1730,Ilya Kovalchuk\kovalil01,20,LW,ATL,81,41,46,87,-10,63,10.6,24,16,1,6,341,12.0,1919,23.68333333,0.0,0,0.0,0.0,0.0,No,59
11382,2004,1731,Joe Sakic*\sakicjo01,34,C,COL,81,33,54,87,11,42,10.8,19,13,1,3,253,13.0,1641,20.26666667,0.0,0,0.0,0.0,0.0,No,144
11383,2004,1732,Markus Naslund\nasluma02,30,LW,VAN,78,35,49,84,24,58,11.4,30,5,0,6,296,11.8,1512,19.38333333,0.0,0,0.0,0.0,0.0,No,176
11384,2004,1733,Marian Hossa\hossama01,25,RW,OTT,81,36,46,82,4,46,10.8,21,14,1,5,233,15.5,1509,18.61666667,0.0,0,0.0,0.0,0.0,No,17
11385,2004,1734,Patrik Elias\eliaspa01,27,LW,NJD,82,38,43,81,26,44,11.8,26,9,3,9,300,12.7,1539,18.76666667,0.0,0,0.0,0.0,0.0,No,0
11386,2004,1735,Daniel Alfredsson\alfreda01,31,RW,OTT,77,32,48,80,12,24,10.4,23,9,0,5,230,13.9,1494,19.4,0.0,0,0.0,0.0,0.0,No,0
11387,2004,1736,Cory Stillman\stillco01,30,LW,TBL,81,25,55,80,18,36,9.7,13,11,1,6,178,14.0,1582,19.53333333,0.0,0,0.0,0.0,0.0,No,0
11388,2004,1737,Robert Lang\langro01,33,C,TOT,69,30,49,79,4,24,10.0,20,10,0,3,163,18.4,1469,21.3,0.0,0,0.0,0.0,0.0,No,0
11389,2004,1738,Brad Richards\richabr01,23,C,TBL,82,26,53,79,13,12,9.3,20,5,1,6,244,10.7,1675,20.43333333,0.0,0,0.0,0.0,0.0,No,0
11390,2004,1739,Alex Tanguay\tangual01,24,LW,COL,69,25,54,79,30,42,10.5,18,7,0,5,117,21.4,1266,18.35,0.0,0,0.0,0.0,0.0,No,0
11391,2004,1740,Milan Hejduk\hejdumi01,27,RW,COL,82,35,40,75,19,20,10.2,19,16,0,6,237,14.8,1539,18.76666667,0.0,0,0.0,0.0,0.0,No,0
11392,2004,1741,Mats Sundin*\sundima01,32,C,TOR,81,31,44,75,11,52,9.2,19,11,1,10,226,13.7,1609,19.86666667,0.0,0,0.0,0.0,0.0,No,0
11393,2004,1742,Mark Recchi*\recchma01,35,LW,PHI,82,26,49,75,18,47,9.4,11,14,1,5,167,15.6,1410,17.2,0.0,0,0.0,0.0,0.0,No,0
11394,2004,1743,Jaromir Jagr\jagrja01,31,RW,TOT,77,31,43,74,-5,38,8.7,21,10,0,3,257,12.1,1613,20.95,0.0,0,0.0,0.0,0.0,No,0
11395,2004,1744,Jarome Iginla\iginlja01,26,RW,CGY,81,41,32,73,21,84,11.1,29,8,4,10,265,15.5,1725,21.3,0.0,0,0.0,0.0,0.0,No,253
11396,2004,1745,Steve Sullivan\sullist01,29,RW,TOT,80,24,49,73,1,48,8.2,11,11,2,4,218,11.0,1674,20.93333333,0.0,0,0.0,0.0,0.0,No,0
11397,2004,1746,Joe Thornton\thornjo01,24,C,BOS,77,23,50,73,18,98,8.8,19,4,0,6,187,12.3,1666,21.63333333,0.0,0,0.0,0.0,0.0,No,0
11398,2004,1747,Keith Tkachuk\tkachke01,31,LW,STL,75,33,38,71,8,83,9.9,15,18,0,8,233,14.2,1474,19.65,0.0,0,0.0,0.0,0.0,No,0
11399,2004,1748,Scott Gomez\gomezsc01,24,C,NJD,80,14,56,70,18,70,8.1,11,3,0,1,189,7.4,1281,16.0,0.0,0,0.0,0.0,0.0,No,0
11400,2004,1749,Bill Guerin\gueribi01,33,RW,DAL,82,34,35,69,14,109,9.8,25,9,0,10,263,12.9,1533,18.7,0.0,0,0.0,0.0,0.0,No,0
11401,2004,1750,Martin Havlat\havlama01,22,RW,OTT,68,31,37,68,12,46,9.6,18,13,0,7,175,17.7,1138,16.73333333,0.0,0,0.0,0.0,0.0,No,0
11402,2004,1751,Pavel Datsyuk\datsypa01,25,C,DET,75,30,38,68,-2,35,8.4,21,8,1,4,136,22.1,1370,18.26666667,0.0,0,0.0,0.0,0.0,No,0
11403,2004,1752,Shane Doan\doansh01,27,RW,PHX,79,27,41,68,-11,47,7.3,16,9,2,1,254,10.6,1719,21.76666667,0.0,0,0.0,0.0,0.0,No,0
11404,2004,1753,Brett Hull*\hullbr01,39,RW,DET,81,25,43,68,-4,12,7.8,15,10,0,6,200,12.5,1369,16.9,0.0,0,0.0,0.0,0.0,No,0
11405,2004,1754,Scott Walker\walkesc01,30,RW,NSH,75,25,42,67,4,94,7.9,13,9,3,3,157,15.9,1504,20.05,0.0,0,0.0,0.0,0.0,No,0
11406,2004,1755,Vincent Lecavalier\lecavvi01,23,C,TBL,81,32,34,66,24,52,9.3,25,5,2,6,242,13.2,1463,18.06666667,0.0,0,0.0,0.0,0.0,No,0
11407,2004,1756,Sergei Fedorov*\fedorse01,34,C,MDA,80,31,34,65,-5,42,8.1,20,9,2,6,268,11.6,1686,21.08333333,0.0,0,0.0,0.0,0.0,No,0
11408,2004,1757,Daniel Briere\brierda01,26,C,BUF,82,28,37,65,-7,70,7.7,17,11,0,3,194,14.4,1503,18.33333333,0.0,0,0.0,0.0,0.0,No,0
11409,2004,1758,Mike Ribeiro\ribeimi01,23,C,MTL,81,20,45,65,15,34,7.9,13,7,0,5,103,19.4,1384,17.08333333,0.0,0,0.0,0.0,0.0,No,0
11410,2004,1759,Doug Weight\weighdo01,33,C,STL,75,14,51,65,-3,37,6.6,8,6,0,5,198,7.1,1532,20.41666667,0.0,0,0.0,0.0,0.0,No,0
11411,2004,1760,Michael Ryder\rydermi01,23,RW,MTL,81,25,38,63,10,26,8.1,15,10,0,4,215,11.6,1296,16.0,0.0,0,0.0,0.0,0.0,No,0
